x-axis,1,2,3
second,Volt,Ampere,Volt
-840.0E-06,+167.7699E-03,+5.9011E-03,-374.3720E-03
-830.0E-06,+100.0000E-03,+4.8638E-03,-374.3720E-03
-820.0E-06,+100.0000E-03,+5.2188E-03,-374.3720E-03
-810.0E-06,+105.5310E-03,+2.5126E-03,-374.3720E-03
-800.0E-06,+100.0000E-03,+3.2733E-03,-374.3720E-03
-790.0E-06,+100.0000E-03,+4.3107E-03,-284.4681E-03
-780.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-770.0E-06,+100.0000E-03,+2.6600E-03,-374.3720E-03
-760.0E-06,+100.0000E-03,+5.6428E-03,-329.8760E-03
-750.0E-06,+141.8573E-03,+4.4398E-03,-374.3720E-03
-740.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-730.0E-06,+100.0000E-03,+2.5308E-03,-374.3720E-03
-720.0E-06,+120.3816E-03,+3.5317E-03,-374.3720E-03
-710.0E-06,+100.0000E-03,+4.4763E-03,-374.3720E-03
-700.0E-06,+100.0000E-03,+5.6063E-03,-374.3720E-03
-690.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-680.0E-06,+100.0000E-03,+5.3844E-03,-374.3720E-03
-670.0E-06,+100.0000E-03,+4.6981E-03,-374.3720E-03
-660.0E-06,+164.4573E-03,+3.3098E-03,-374.3720E-03
-650.0E-06,+100.0000E-03,+6.2926E-03,-374.3720E-03
-640.0E-06,+100.0000E-03,+3.7900E-03,-374.3720E-03
-630.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-620.0E-06,+100.0000E-03,+3.1807E-03,-374.3720E-03
-610.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-600.0E-06,+100.0000E-03,+5.1261E-03,-374.3720E-03
-590.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-580.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-570.0E-06,+100.0000E-03,+6.5327E-03,-198.2867E-03
-560.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-550.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-540.0E-06,+100.0000E-03,+6.1229E-03,-374.3720E-03
-530.0E-06,+100.0000E-03,+7.1602E-03,-374.3720E-03
-520.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-510.0E-06,+154.0436E-03,+5.2148E-03,-374.3720E-03
-500.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-490.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-480.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-470.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-460.0E-06,+100.0000E-03,+6.3812E-03,-374.3720E-03
-450.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-440.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-430.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-420.0E-06,+179.9562E-03,+2.5126E-03,-374.3720E-03
-410.0E-06,+100.0000E-03,+2.5126E-03,-224.1182E-03
-400.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-390.0E-06,+100.0000E-03,+5.6022E-03,-219.8892E-03
-380.0E-06,+102.1374E-03,+2.6194E-03,-374.3720E-03
-370.0E-06,+122.8837E-03,+5.3885E-03,-374.3720E-03
-360.0E-06,+100.0000E-03,+4.3512E-03,-265.2971E-03
-350.0E-06,+100.0000E-03,+5.7314E-03,-374.3720E-03
-340.0E-06,+100.0000E-03,+2.7486E-03,-374.3720E-03
-330.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-320.0E-06,+134.1889E-03,+4.2220E-03,-374.3720E-03
-310.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-300.0E-06,+100.0000E-03,+6.1675E-03,-374.3720E-03
-290.0E-06,+100.0000E-03,+5.1302E-03,-374.3720E-03
-280.0E-06,+100.0000E-03,+4.0929E-03,-374.3720E-03
-270.0E-06,+100.0000E-03,+3.0556E-03,-374.3720E-03
-260.0E-06,+109.8868E-03,+6.0383E-03,-374.3720E-03
-250.0E-06,+130.6331E-03,+4.0442E-03,-374.3720E-03
-240.0E-06,+180.4020E-03,+6.5327E-03,-374.3720E-03
-230.0E-06,+100.0000E-03,+2.9264E-03,-353.6812E-03
-220.0E-06,+167.9320E-03,+6.5327E-03,-374.3720E-03
-210.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-200.0E-06,+100.0000E-03,+3.8345E-03,+3.0427135E+00
-190.0E-06,+100.0000E-03,+6.5327E-03,+3.0427135E+00
-180.0E-06,+100.0000E-03,+5.7800E-03,-374.3720E-03
-170.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
